AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTC,BTN,BWP,BYN,BZD,CAD,CDF,CHF,CLF,CLP,CNH,CNY,COP,CRC,CUC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KMF,KPW,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRO,MRU,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SRD,SSP,STD,STN,SVC,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VEF,VES,VND,VUV,WST,XAF,XAG,XAU,XCD,XDR,XOF,XPD,XPF,XPT,YER,ZAR,ZMW,ZWL
3.673175,78.5155,109.25,475.950438,1.785591,362.0025,55.1065,1.47978,1.799996,1.7025,1.767534,2,84.55,1.76437,0.376971,1844.406489,1,1.350754,6.91965,4.069005,1,9.8124348e-05,71.624096,11.070003,2.058151,2.016294,1.330035,1654.527199,0.98358,0.024947,714.2,7.086766,7.0837,3382.121869,565.388793,1,25.75,99.5405,23.253004,178.025,6.72567,51.175,119.97,16.5735,14.999741,29.268021,0.902122,2.181159,0.815804,0.815804,2.924304,0.815804,5.4516,0.815804,50.105,9183.789652,7.682171,209.349737,7.8403,24.52502,6.668565,95.378692,295.92129,14230.1,3.5186,0.815804,71.9457,1193.549409,42105,124.969739,0.815804,135.16,0.709004,106.4144906,103.1,69.64305,4083.20891,439.653671,900,1210.6,0.304051,0.83359,386.290442,8725.684393,1513.15,179.49,203,15.204223,1.409006,9.6163,17.64455,3701.243494,55.462507,1520.957265,2665.661219,8.078031,357,36.735,36.197,15.500007,728.883243,19.798735,4.186642,60.75,15.204223,362.36,33.535006,8.974714,114.600473,1.570843,0.384963,1,3.379618,3.3978,52.3405,160.09,3.930161,6156.043266,3.640999,4.260496,106.352705,65.6285,919.095711,3.75055,8.117083,13.668491,45.126199,9.670441,1.385341,0.815804,9300.50007,578.65746,7.458,130.26,21560.79,21.925,8.752463,514.175128,15.204053,30.79,9.693496,3.499972,2.869992,2.316522,5.76902,6.77335,31.353,2299.3,25.155,3691.073855,1,36.509853,9069.185731,248487.642241,12993.75,23168.774854,116.377161,2.643406,591.753272,0.05855872,0.00066696,2.70255,0.729464,591.753272,0.00067104,107.651796,0.00116212,250.350747,15.236899,13.114,322.000001
3.673175,78.5155,109.25,475.950438,1.785591,362.0025,55.1065,1.47978,1.799996,1.7025,1.767534,2,84.55,1.76437,0.376971,1844.406489,1,1.350754,6.91965,4.069005,1,9.8124348e-05,71.624096,11.070003,2.058151,2.016294,1.330035,1654.527199,0.98358,0.024947,714.2,7.086766,7.0837,3382.121869,565.388793,1,25.75,99.5405,23.253004,178.025,6.72567,51.175,119.97,16.5735,14.999741,29.268021,0.902122,2.181159,0.815804,0.815804,2.924304,0.815804,5.4516,0.815804,50.105,9183.789652,7.682171,209.349737,7.8403,24.52502,6.668565,95.378692,295.92129,14230.1,3.5186,0.815804,71.9457,1193.549409,42105,124.969739,0.815804,135.16,0.709004,106.4144906,103.1,69.64305,4083.20891,439.653671,900,1210.6,0.304051,0.83359,386.290442,8725.684393,1513.15,179.49,203,15.204223,1.409006,9.6163,17.64455,3701.243494,55.462507,1520.957265,2665.661219,8.078031,357,36.735,36.197,15.500007,728.883243,19.798735,4.186642,60.75,15.204223,362.36,33.535006,8.974714,114.600473,1.570843,0.384963,1,3.379618,3.3978,52.3405,160.09,3.930161,6156.043266,3.640999,4.260496,106.352705,65.6285,919.095711,3.75055,8.117083,13.668491,45.126199,9.670441,1.385341,0.815804,9300.50007,578.65746,7.458,130.26,21560.79,21.925,8.752463,514.175128,15.204053,30.79,9.693496,3.499972,2.869992,2.316522,5.76902,6.77335,31.353,2299.3,25.155,3691.073855,1,36.509853,9069.185731,248487.642241,12993.75,23168.774854,116.377161,2.643406,591.753272,0.05855872,0.00066696,2.70255,0.729464,591.753272,0.00067104,107.651796,0.00116212,250.350747,15.236899,13.114,322.000001
3.673175,78.5155,109.25,475.950438,1.785591,362.0025,55.106,1.479815,1.799996,1.7025,1.767534,2,84.55,1.7641,0.377015,1844.406489,1,1.350754,6.91965,4.077803,1,9.8261743e-05,71.624096,11.070003,2.058151,2.016294,1.33017,1654.527199,0.983595,0.024947,714.1,7.087885,7.0837,3382.922914,565.388793,1,25.75,99.5405,23.259664,178.025,6.727387,51.175,119.961295,16.5725,14.999741,29.268021,0.90235,2.181159,0.815978,0.815978,2.924704,0.815978,5.4516,0.815978,50.105,9183.789652,7.682171,209.349737,7.84081,24.52502,6.671163,95.378692,296.087,14224.753165,3.5186,0.815978,71.872595,1193.549409,42105,124.969739,0.815978,135.16,0.709004,106.40185,103.103375,69.64305,4083.20891,439.653671,900,1210.683888,0.304079,0.83359,386.290442,8725.684393,1513.15,179.49,203,15.204223,1.409006,9.61662,17.64455,3701.243494,55.463,1520.957265,2665.661219,8.078031,357,36.735,36.197,15.500007,728.883243,19.842285,4.186642,60.75,15.204223,362.36,33.535006,8.977114,114.600473,1.570587,0.384984,1,3.379618,3.3978,52.329993,160.09,3.9319,6156.043266,3.640999,4.260637,106.389397,65.6416,919.095711,3.75055,8.117083,13.669845,45.126199,9.671986,1.385776,0.815978,9300.50007,578.65746,7.458,130.26,21560.79,21.925,8.752463,514.240128,15.204053,30.7955,9.693496,3.499972,2.861715,2.316522,5.766848,6.77335,31.354,2299.3,25.155,3691.073855,1,36.509853,9069.185731,248487.642241,12993.75,23175.496693,116.377161,2.643406,591.9029,0.05861665,0.00066692,2.70255,0.729464,591.9029,0.00067114,107.679016,0.00116334,250.350747,15.250666,13.114,322.000001
3.673175,78.5155,109.25,475.950438,1.785591,362.0025,55.106,1.479815,1.799996,1.7025,1.767534,2,84.55,1.7641,0.377015,1844.406489,1,1.350754,6.91965,4.077803,1,9.8261743e-05,71.624096,11.070003,2.058151,2.016294,1.33017,1654.527199,0.983595,0.024947,714.1,7.087885,7.0837,3382.922914,565.388793,1,25.75,99.5405,23.259664,178.025,6.727387,51.175,119.961295,16.5725,14.999741,29.268021,0.90235,2.181159,0.815978,0.815978,2.924704,0.815978,5.4516,0.815978,50.105,9183.789652,7.682171,209.349737,7.84081,24.52502,6.671163,95.378692,296.087,14224.753165,3.5186,0.815978,71.872595,1193.549409,42105,124.969739,0.815978,135.16,0.709004,106.40185,103.103375,69.64305,4083.20891,439.653671,900,1210.683888,0.304079,0.83359,386.290442,8725.684393,1513.15,179.49,203,15.204223,1.409006,9.61662,17.64455,3701.243494,55.463,1520.957265,2665.661219,8.078031,357,36.735,36.197,15.500007,728.883243,19.842285,4.186642,60.75,15.204223,362.36,33.535006,8.977114,114.600473,1.570587,0.384984,1,3.379618,3.3978,52.329993,160.09,3.9319,6156.043266,3.640999,4.260637,106.389397,65.6416,919.095711,3.75055,8.117083,13.669845,45.126199,9.671986,1.385776,0.815978,9300.50007,578.65746,7.458,130.26,21560.79,21.925,8.752463,514.240128,15.204053,30.7955,9.693496,3.499972,2.861715,2.316522,5.766848,6.77335,31.354,2299.3,25.155,3691.073855,1,36.509853,9069.185731,248487.642241,12993.75,23175.496693,116.377161,2.643406,591.9029,0.05861665,0.00066692,2.70255,0.729464,591.9029,0.00067114,107.679016,0.00116334,250.350747,15.250666,13.114,322.000001
3.673137,78.5155,109.419979,475.950438,1.785591,362.0025,55.102759,1.480024,1.799996,1.7025,1.767534,2,84.527308,1.765381,0.377042,1844.406489,1,1.350754,6.918976,4.071272,1,9.8178501e-05,71.623798,11.071877,2.058151,2.016294,1.330311,1654.527199,0.98368,0.024947,715.103203,7.089568,7.083686,3389.285466,565.388793,1,25.75,99.5405,23.273672,178.025,6.729037,51.167528,119.983248,16.572492,14.999741,29.268021,0.90254,2.181095,0.816045,0.816045,2.925104,0.816045,5.451609,0.816045,50.105,9183.789652,7.682171,209.274573,7.840482,24.52502,6.672222,95.378692,296.193598,14226.291706,3.519018,0.816045,71.927814,1193.549409,42105,124.959221,0.816045,135.080021,0.709003,106.43854213,103.10482,69.64305,4083.20891,439.653671,900,1210.398179,0.304089,0.83359,386.290589,8725.684393,1512.774247,179.5,203,15.204223,1.409006,9.618096,17.696458,3701.243494,55.463007,1520.957265,2665.661219,8.078031,357,36.735,36.200355,15.500007,728.883243,19.820565,4.186621,60.75,15.204223,362.359528,33.535006,8.980135,114.600473,1.57081,0.385005,1,3.379618,3.398549,52.338223,160.370512,3.932596,6156.043266,3.641261,4.261704,106.440847,65.639474,919.095711,3.750375,8.117083,13.667653,45.126199,9.67721,1.385782,0.816045,9300.50007,578.65746,7.458,130.26,21560.79,21.925,8.752463,514.310128,15.204053,30.801653,9.693496,3.499972,2.87121,2.316522,5.767831,6.772542,31.377588,2299.3,25.155,3691.073855,1,36.567921,9069.185731,248487.642241,12993.75,23192.170461,116.377161,2.643406,592.027306,0.05867103,0.00066749,2.70255,0.729464,592.027306,0.00067207,107.701648,0.00116617,250.350747,15.245813,13.113939,322.000001
3.673137,78.5155,109.419979,475.950438,1.785591,362.0025,55.102759,1.480024,1.799996,1.7025,1.767534,2,84.527308,1.765381,0.377042,1844.406489,1,1.350754,6.918976,4.071272,1,9.8178501e-05,71.623798,11.071877,2.058151,2.016294,1.330311,1654.527199,0.98368,0.024947,715.103203,7.089568,7.083686,3389.285466,565.388793,1,25.75,99.5405,23.273672,178.025,6.729037,51.167528,119.983248,16.572492,14.999741,29.268021,0.90254,2.181095,0.816045,0.816045,2.925104,0.816045,5.451609,0.816045,50.105,9183.789652,7.682171,209.274573,7.840482,24.52502,6.672222,95.378692,296.193598,14226.291706,3.519018,0.816045,71.927814,1193.549409,42105,124.959221,0.816045,135.080021,0.709003,106.43854213,103.10482,69.64305,4083.20891,439.653671,900,1210.398179,0.304089,0.83359,386.290589,8725.684393,1512.774247,179.5,203,15.204223,1.409006,9.618096,17.696458,3701.243494,55.463007,1520.957265,2665.661219,8.078031,357,36.735,36.200355,15.500007,728.883243,19.820565,4.186621,60.75,15.204223,362.359528,33.535006,8.980135,114.600473,1.57081,0.385005,1,3.379618,3.398549,52.338223,160.370512,3.932596,6156.043266,3.641261,4.261704,106.440847,65.639474,919.095711,3.750375,8.117083,13.667653,45.126199,9.67721,1.385782,0.816045,9300.50007,578.65746,7.458,130.26,21560.79,21.925,8.752463,514.310128,15.204053,30.801653,9.693496,3.499972,2.87121,2.316522,5.767831,6.772542,31.377588,2299.3,25.155,3691.073855,1,36.567921,9069.185731,248487.642241,12993.75,23192.170461,116.377161,2.643406,592.027306,0.05867103,0.00066749,2.70255,0.729464,592.027306,0.00067207,107.701648,0.00116617,250.350747,15.245813,13.113939,322.000001
3.673137,78.5155,109.419979,475.950438,1.785591,362.0025,55.107,1.479821,1.799996,1.7025,1.767534,2,84.527308,1.765305,0.377042,1844.406489,1,1.350754,6.918976,4.0705,1,9.8688109e-05,71.623798,11.071877,2.058151,2.016294,1.329696,1654.527199,0.983651,0.024947,715.115,7.090544,7.0837,3383.609826,565.388793,1,25.75,99.5405,23.268943,178.025,6.728185,51.167528,119.98065,16.569,14.999741,29.268021,0.902454,2.181095,0.816152,0.816152,2.925004,0.816152,5.451609,0.816152,50.105,9183.789652,7.682171,209.274573,7.839638,24.52502,6.671266,95.378692,296.034136,14292.456372,3.5186,0.816152,71.9255,1193.549409,42105,125.010048,0.816152,135.080021,0.709003,106.4215,103.11,69.64305,4083.20891,439.653671,900,1210.193071,0.304088,0.83359,386.290589,8725.684393,1512.774247,179.5,203,15.204223,1.409006,9.619359,17.64455,3701.243494,55.463007,1520.957265,2665.661219,8.078031,357,36.735,36.1975,15.500007,728.883243,19.828854,4.186642,60.75,15.204223,362.359528,33.535006,8.979765,114.600473,1.570179,0.384996,1,3.379618,3.398549,52.4,160.370512,3.933314,6156.043266,3.641261,4.260401,106.406218,65.5673,919.095711,3.750375,8.117083,13.670495,45.126199,9.677787,1.385543,0.816152,9300.50007,578.65746,7.458,130.26,21560.79,21.925,8.752463,514.300128,15.204053,30.8015,9.693496,3.499972,2.862302,2.316522,5.763067,6.772542,31.361121,2299.3,25.155,3691.073855,1,36.509853,9069.185731,248487.642241,12993.75,23179.518279,116.377161,2.643406,591.97133,0.05865447,0.00066757,2.70255,0.729464,591.97133,0.00067168,107.691465,0.00116511,250.350747,15.257399,13.113939,322.000001
3.673137,78.5155,109.419979,475.950438,1.785591,362.0025,55.107,1.479821,1.799996,1.7025,1.767534,2,84.527308,1.765305,0.377042,1844.406489,1,1.350754,6.918976,4.0705,1,9.8688109e-05,71.623798,11.071877,2.058151,2.016294,1.329696,1654.527199,0.983651,0.024947,715.115,7.090544,7.0837,3383.609826,565.388793,1,25.75,99.5405,23.268943,178.025,6.728185,51.167528,119.98065,16.569,14.999741,29.268021,0.902454,2.181095,0.816152,0.816152,2.925004,0.816152,5.451609,0.816152,50.105,9183.789652,7.682171,209.274573,7.839638,24.52502,6.671266,95.378692,296.034136,14292.456372,3.5186,0.816152,71.9255,1193.549409,42105,125.010048,0.816152,135.080021,0.709003,106.4215,103.11,69.64305,4083.20891,439.653671,900,1210.193071,0.304088,0.83359,386.290589,8725.684393,1512.774247,179.5,203,15.204223,1.409006,9.619359,17.64455,3701.243494,55.463007,1520.957265,2665.661219,8.078031,357,36.735,36.1975,15.500007,728.883243,19.828854,4.186642,60.75,15.204223,362.359528,33.535006,8.979765,114.600473,1.570179,0.384996,1,3.379618,3.398549,52.4,160.370512,3.933314,6156.043266,3.641261,4.260401,106.406218,65.5673,919.095711,3.750375,8.117083,13.670495,45.126199,9.677787,1.385543,0.816152,9300.50007,578.65746,7.458,130.26,21560.79,21.925,8.752463,514.300128,15.204053,30.8015,9.693496,3.499972,2.862302,2.316522,5.763067,6.772542,31.361121,2299.3,25.155,3691.073855,1,36.509853,9069.185731,248487.642241,12993.75,23179.518279,116.377161,2.643406,591.97133,0.05865447,0.00066757,2.70255,0.729464,591.97133,0.00067168,107.691465,0.00116511,250.350747,15.257399,13.113939,322.000001
3.673181,78.5155,109.419979,475.950438,1.785591,362.0025,55.1008,1.479633,1.799996,1.7025,1.767534,2,84.527308,1.765135,0.377044,1844.406489,1,1.350754,6.918976,4.0694,1,9.8373304e-05,71.623798,11.071877,2.058151,2.016294,1.329637,1654.527199,0.98358,0.024947,715.104004,7.089735,7.0837,3382.864158,565.388793,1,25.75,99.5405,23.263076,178.025,6.727351,51.167528,119.97,16.567,14.999741,29.268021,0.902351,2.181095,0.816305,0.816305,2.924854,0.816305,5.451609,0.816305,50.105,9183.789652,7.682171,209.274573,7.84041,24.52502,6.67094,95.378692,296.064158,14292.5,3.5186,0.816305,71.9299,1193.549409,42105,124.969739,0.816305,135.080021,0.709001,106.4455,103.1,69.64305,4083.20891,439.653671,900,1210.41,0.304118,0.83359,386.290589,8725.684393,1512.774247,179.5,203,15.204223,1.409006,9.6121,17.64455,3701.243494,55.487817,1520.957265,2665.661219,8.078031,357,36.735,36.2015,15.500007,728.883243,19.822694,4.186642,60.75,15.204223,362.359528,33.535006,8.980984,114.600473,1.570031,0.384988,1,3.379618,3.398549,52.4,160.370512,3.93209,6156.043266,3.641261,4.260305,106.397416,65.5586,919.095711,3.7504,8.117083,13.668,45.126199,9.675831,1.385813,0.816305,9300.50007,578.65746,7.458,130.26,21560.79,21.925,8.752463,514.265128,15.204053,30.798,9.693496,3.499972,2.8621,2.316522,5.770687,6.772542,31.364,2299.3,25.155,3691.073855,1,36.509853,9069.185731,248487.642241,12993.75,23176.831488,116.377161,2.643406,591.903629,0.05869586,0.0006677,2.70255,0.729464,591.903629,0.00067117,107.679149,0.0011653,250.350747,15.246636,13.113939,322.000001
3.673181,78.5155,109.419979,475.950438,1.785591,362.0025,55.1008,1.479633,1.799996,1.7025,1.767534,2,84.527308,1.765135,0.377044,1844.406489,1,1.350754,6.918976,4.0694,1,9.8373304e-05,71.623798,11.071877,2.058151,2.016294,1.329637,1654.527199,0.98358,0.024947,715.104004,7.089735,7.0837,3382.864158,565.388793,1,25.75,99.5405,23.263076,178.025,6.727351,51.167528,119.97,16.567,14.999741,29.268021,0.902351,2.181095,0.816305,0.816305,2.924854,0.816305,5.451609,0.816305,50.105,9183.789652,7.682171,209.274573,7.84041,24.52502,6.67094,95.378692,296.064158,14292.5,3.5186,0.816305,71.9299,1193.549409,42105,124.969739,0.816305,135.080021,0.709001,106.4455,103.1,69.64305,4083.20891,439.653671,900,1210.41,0.304118,0.83359,386.290589,8725.684393,1512.774247,179.5,203,15.204223,1.409006,9.6121,17.64455,3701.243494,55.487817,1520.957265,2665.661219,8.078031,357,36.735,36.2015,15.500007,728.883243,19.822694,4.186642,60.75,15.204223,362.359528,33.535006,8.980984,114.600473,1.570031,0.384988,1,3.379618,3.398549,52.4,160.370512,3.93209,6156.043266,3.641261,4.260305,106.397416,65.5586,919.095711,3.7504,8.117083,13.668,45.126199,9.675831,1.385813,0.816305,9300.50007,578.65746,7.458,130.26,21560.79,21.925,8.752463,514.265128,15.204053,30.798,9.693496,3.499972,2.8621,2.316522,5.770687,6.772542,31.364,2299.3,25.155,3691.073855,1,36.509853,9069.185731,248487.642241,12993.75,23176.831488,116.377161,2.643406,591.903629,0.05869586,0.0006677,2.70255,0.729464,591.903629,0.00067117,107.679149,0.0011653,250.350747,15.246636,13.113939,322.000001
